X1 transaction date_1_1,X1 transaction date_2_1,X1 transaction date_3_1,X2 house age_1_1,X2 house age_2_1,X2 house age_3_1,X3 distance to the nearest MRT station_1_1,X3 distance to the nearest MRT station_2_1,X3 distance to the nearest MRT station_3_1,X4 number of convenience stores_1_1,X4 number of convenience stores_2_1,X4 number of convenience stores_3_1,X5 latitude_1_1,X5 latitude_2_1,X5 latitude_3_1,X6 longitude_1_1,X6 longitude_2_1,X6 longitude_3_1,Y house price of unit area
no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,40.3
no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,12.9
yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,46.6
no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,25.6
no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,27.3
no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,38.6
no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,31.3
yes,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,35.3
yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,40.3
no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,24.7
no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,31.9
no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,23.0
yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,37.3
no,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,35.5
yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,27.7
no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,28.5
no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,39.7
no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,41.2
no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,37.2
no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,40.5
yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,22.3
no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,28.1
yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,15.4
no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,50.0
no,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,40.6
no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,63.9
